type_acci;date;heure;commune;luminosite_accident;cond_atmos;Intersection;categorie_route;type_collision;type_vehicule_1;manoeuvre_vehicule_1;type_vehicule_2;age_usager;sexe_usager;gravite_usager;etat_usager;nombre_usagers;nb_veh;nombre_pietons;nombre_motos;nombre_vl;nombre_pl;age_usa1_categ;accident_pieton;accident_moto;categorie_vl;accident_pl;categorie_age;categorie_usagers
Grave;03/07/2014;17:35;Puteaux;Plein jour;Autre;Hors intersection;Route departementale;Collisions multiples;VL seul;Meme sens, Meme file;VL seul;32;Masculin;Blessee Leger;Non renseignee ;5;5;0;2;3;0;Adulte jeune (25-34);Sans pieton;Avec moto;3 VL ou plus;Sans poids lourd;Adulte jeune (25-34);3-5 usagers
Grave;09/10/2014;21:50;Saint-Cloud;Nuit avec eclairage public allumee;Autre;Hors intersection;Autoroute;Sans collision;Motocyclette > 125 cm3;Sans changement de direction;Non renseignee ;22;Masculin;Blessee hospitalisee;Non renseignee ;2;1;0;1;0;0;Jeune adulte (18-24);Sans pieton;Avec moto;Aucun VL;Sans poids lourd;Jeune adulte (18-24);2 usagers
Grave;16/07/2014;16:50;Villeneuve-la-Garenne;Plein jour;Autre;Hors intersection;Autoroute;Collision par le cote;Motocyclette > 125 cm3;Entre 2 files;VL seul;39;Masculin;Blessee hospitalisee;Non renseignee ;2;2;0;1;1;0;Adulte (35-49);Sans pieton;Avec moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Grave;09/01/2014;08:09;Gennevilliers;Nuit sanseclairage public;Temps couvert;Hors intersection;Autoroute;Collision par le cote;Motocyclette > 50 cm3 et <= 125 cm3;Sans changement de direction;VL seul;22;Masculin;Blessee hospitalisee;Non renseignee ;2;2;0;1;1;0;Jeune adulte (18-24);Sans pieton;Avec moto;1 VL;Sans poids lourd;Jeune adulte (18-24);2 usagers
Grave;17/11/2014;18:10;Non renseignee nterre;Nuit avec eclairage public allumee;Pluie legere;Hors intersection;Autoroute;Collision par l'arriere;Motocyclette > 125 cm3;Meme sens, Meme file;VL seul;52;Masculin;Blessee hospitalisee;Non renseignee ;2;2;0;1;1;0;Senior actif (50-64);Sans pieton;Avec moto;1 VL;Sans poids lourd;Senior actif (50-64);2 usagers
Grave;18/11/2014;08:07;Meudon;Plein jour;Pluie legere;Hors intersection;Route Non renseignee tioNon renseignee le;Sans collision;Motocyclette > 50 cm3 et <= 125 cm3;Sans changement de direction;Non renseignee ;31;Masculin;Blessee hospitalisee;Non renseignee ;1;1;0;1;0;0;Adulte jeune (25-34);Sans pieton;Avec moto;Aucun VL;Sans poids lourd;Adulte jeune (25-34);1 usager
Grave;13/04/2014;21:10;Le Plessis-Robinson;Nuit sanseclairage public;Autre;Hors intersection;Autoroute;Collision par l'arriere;PL seul > 7,5T;Arrete (hors stationnement);Motocyclette > 125 cm3;40;Masculin;Indemne;Non renseignee ;2;2;0;1;0;1;Adulte (35-49);Sans pieton;Avec moto;Aucun VL;Avec poids lourd;Adulte (35-49);2 usagers
Grave;24/07/2014;19:20;Clichy;Plein jour;Autre;Hors intersection;Voie commuNon renseignee le;Collision par le cote;Motocyclette > 125 cm3;Sans changement de direction;VL seul;60;Masculin;Blessee hospitalisee;Non renseignee ;2;2;0;1;1;0;Senior actif (50-64);Sans pieton;Avec moto;1 VL;Sans poids lourd;Senior actif (50-64);2 usagers
Grave;17/10/2014;18:20;Colombes;Plein jour;Autre;Intersection en X;Voie commuNon renseignee le;Collision par le cote;Motocyclette > 125 cm3;Sans changement de direction;VL seul;35;Masculin;Blessee hospitalisee;Non renseignee ;1;2;0;1;1;0;Adulte (35-49);Sans pieton;Avec moto;1 VL;Sans poids lourd;Adulte (35-49);1 usager
Grave;18/02/2014;15:40;Villeneuve-la-Garenne;Plein jour;Autre;Hors intersection;Voie commuNon renseignee le;Sans collision;Scooter < 50 cm3;Non renseignee ;Non renseignee ;17;Masculin;Blessee hospitalisee;Non renseignee ;1;1;0;0;0;0;Mineur (-18 ans);Sans pieton;Sans moto;Aucun VL;Sans poids lourd;Mineur (-18 ans);1 usager
